translation,word,language,language_code
puresa,purity,catallan,ca
Reinheit,purity,german,de
청정,purity,korean,ko
純度,purity,japanese,ja
pureza,purity,spanish,es
maemae,purity,hawaiian,haw
oasis,oasis,french,fr
oase,oasis,dutch,nl
ósais,oasis,gaelic,ga
oasi,oasis,catallan,ca
Oase,oasis,german,de
오아시스,oasis,korean,ko
オアシス,oasis,japanese,ja
oasis,oasis,spanish,es
Oasis,oasis,hawaiian,haw
dichotomie,dichotomy,french,fr
dichotomie,dichotomy,dutch,nl
dichotomy,dichotomy,gaelic,ga
dicotomia,dichotomy,catallan,ca
Dichotomie,dichotomy,german,de
이분법,dichotomy,korean,ko
二分法,dichotomy,japanese,ja
dicotomía,dichotomy,spanish,es
dichotomy,dichotomy,hawaiian,haw
double,double,french,fr
dubbele,double,dutch,nl
dúbailte,double,gaelic,ga
doble,double,catallan,ca
doppelt,double,german,de
더블,double,korean,ko
ダブル,double,japanese,ja
doble,double,spanish,es
palua,double,hawaiian,haw
paire,pair,french,fr
paar-,pair,dutch,nl
péire,pair,gaelic,ga
parell,pair,catallan,ca
Paar,pair,german,de
쌍,pair,korean,ko
ペア,pair,japanese,ja
par,pair,spanish,es
mau,pair,hawaiian,haw
tous les deux,both,french,fr
beide,both,dutch,nl
araon,both,gaelic,ga
tots dos,both,catallan,ca
beide,both,german,de
양자 모두,both,korean,ko
どちらも,both,japanese,ja
ambos,both,spanish,es
elua,both,hawaiian,haw
contraste,contrast,french,fr
contrast,contrast,dutch,nl
i gcodarsnacht,contrast,gaelic,ga
contrastar,contrast,catallan,ca
Kontrast,contrast,german,de
대조,contrast,korean,ko
コントラスト,contrast,japanese,ja
contraste,contrast,spanish,es
Akä naÿe,contrast,hawaiian,haw
début,beginning,french,fr
begin,beginning,dutch,nl
ag tosú,beginning,gaelic,ga
principi,beginning,catallan,ca
Anfang,beginning,german,de
처음,beginning,korean,ko
開始,beginning,japanese,ja
comenzando,beginning,spanish,es
e hoomaka ana,beginning,hawaiian,haw
fin,end,french,fr
einde,end,dutch,nl
deireadh,end,gaelic,ga
final,end,catallan,ca
Ende,end,german,de
종료,end,korean,ko
終わり,end,japanese,ja
fin,end,spanish,es
hopena,end,hawaiian,haw
un,one,french,fr
een,one,dutch,nl
amháin,one,gaelic,ga
1,one,catallan,ca
eins,one,german,de
하나,one,korean,ko
1,one,japanese,ja
uno,one,spanish,es
ʻekahi,one,hawaiian,haw
beaucoup,many,french,fr
veel,many,dutch,nl
go leor,many,gaelic,ga
molts,many,catallan,ca
viele,many,german,de
많이,many,korean,ko
たくさんの,many,japanese,ja
muchos,many,spanish,es
he nui,many,hawaiian,haw
étant,being,french,fr
wezen,being,dutch,nl
á,being,gaelic,ga
ser,being,catallan,ca
Sein,being,german,de
존재,being,korean,ko
であること,being,japanese,ja
siendo,being,spanish,es
he,being,hawaiian,haw
existence,existence,french,fr
bestaan,existence,dutch,nl
ann,existence,gaelic,ga
existència,existence,catallan,ca
Existenz,existence,german,de
존재,existence,korean,ko
存在,existence,japanese,ja
existencia,existence,spanish,es
ola,existence,hawaiian,haw
souffle,breath,french,fr
adem,breath,dutch,nl
anáil,breath,gaelic,ga
alè,breath,catallan,ca
Atem,breath,german,de
숨,breath,korean,ko
息,breath,japanese,ja
aliento,breath,spanish,es
hanu,breath,hawaiian,haw
sol,ground,french,fr
grond,ground,dutch,nl
talamh,ground,gaelic,ga
terreny,ground,catallan,ca
Boden,ground,german,de
바닥,ground,korean,ko
接地,ground,japanese,ja
suelo,ground,spanish,es
honua,ground,hawaiian,haw
fugace,fleeting,french,fr
vluchtig,fleeting,dutch,nl
fleeting,fleeting,gaelic,ga
fugaç,fleeting,catallan,ca
flüchtig,fleeting,german,de
잠깐 동안의,fleeting,korean,ko
つかの間の,fleeting,japanese,ja
fugaz,fleeting,spanish,es
fleeting,fleeting,hawaiian,haw
mise à la terre,grounded,french,fr
geaard,grounded,dutch,nl
bunaithe,grounded,gaelic,ga
connectat a terra,grounded,catallan,ca
geerdet,grounded,german,de
접지,grounded,korean,ko
接地しました,grounded,japanese,ja
conectado a tierra,grounded,spanish,es
ili,grounded,hawaiian,haw
sur,on,french,fr
op,on,dutch,nl
ar,on,gaelic,ga
a,on,catallan,ca
auf,on,german,de
...에,on,korean,ko
に,on,japanese,ja
en,on,spanish,es
maluna o,on,hawaiian,haw
de,off,french,fr
uit,off,dutch,nl
off,off,gaelic,ga
apagat,off,catallan,ca
aus,off,german,de
떨어져서,off,korean,ko
オフ,off,japanese,ja
apagado,off,spanish,es
aku,off,hawaiian,haw
pièce de monnaie,coin,french,fr
munt,coin,dutch,nl
mona,coin,gaelic,ga
moneda,coin,catallan,ca
Münze,coin,german,de
동전,coin,korean,ko
コイン,coin,japanese,ja
acuñar,coin,spanish,es
dala,coin,hawaiian,haw
éveillé,awake,french,fr
wakker,awake,dutch,nl
awake,awake,gaelic,ga
despert,awake,catallan,ca
wach,awake,german,de
깨다,awake,korean,ko
起きている,awake,japanese,ja
despierto,awake,spanish,es
e ala,awake,hawaiian,haw
endormi,asleep,french,fr
in slaap,asleep,dutch,nl
chodladh,asleep,gaelic,ga
adormit,asleep,catallan,ca
schlafend,asleep,german,de
죽어,asleep,korean,ko
眠って,asleep,japanese,ja
dormido,asleep,spanish,es
hiamoe,asleep,hawaiian,haw
présence,presence,french,fr
aanwezigheid,presence,dutch,nl
láithreacht,presence,gaelic,ga
presència,presence,catallan,ca
Gegenwart,presence,german,de
존재,presence,korean,ko
プレゼンス,presence,japanese,ja
presencia,presence,spanish,es
alo,presence,hawaiian,haw
absence,absence,french,fr
afwezigheid,absence,dutch,nl
as láthair,absence,gaelic,ga
absència,absence,catallan,ca
Abwesenheit,absence,german,de
부재,absence,korean,ko
不在,absence,japanese,ja
ausencia,absence,spanish,es
kaawale aku,absence,hawaiian,haw
pause,pause,french,fr
pauze,pause,dutch,nl
sos,pause,gaelic,ga
pausa,pause,catallan,ca
Pause,pause,german,de
중지,pause,korean,ko
ポーズ,pause,japanese,ja
pausa,pause,spanish,es
e kakali,pause,hawaiian,haw
écart,gap,french,fr
kloof,gap,dutch,nl
bearna,gap,gaelic,ga
bretxa,gap,catallan,ca
Spalt,gap,german,de
갭,gap,korean,ko
ギャップ,gap,japanese,ja
brecha,gap,spanish,es
nahā i,gap,hawaiian,haw
espace négatif,negative space,french,fr
negatieve ruimte,negative space,dutch,nl
spás diúltach,negative space,gaelic,ga
espai negatiu,negative space,catallan,ca
negativen Raum,negative space,german,de
부정적인 공간,negative space,korean,ko
ネガティブスペース,negative space,japanese,ja
espacio negativo,negative space,spanish,es
maikaʻi &#39;makahiki,negative space,hawaiian,haw
difficile,hard,french,fr
hard,hard,dutch,nl
crua,hard,gaelic,ga
dur,hard,catallan,ca
hart,hard,german,de
단단한,hard,korean,ko
ハード,hard,japanese,ja
difícil,hard,spanish,es
paakiki,hard,hawaiian,haw
doux,soft,french,fr
zacht,soft,dutch,nl
bog,soft,gaelic,ga
suau,soft,catallan,ca
weich,soft,german,de
부드러운,soft,korean,ko
柔らかい,soft,japanese,ja
suave,soft,spanish,es
pahee,soft,hawaiian,haw
intense,intense,french,fr
intens,intense,dutch,nl
dian,intense,gaelic,ga
intens,intense,catallan,ca
intensiv,intense,german,de
심한,intense,korean,ko
激しいです,intense,japanese,ja
intenso,intense,spanish,es
pili,intense,hawaiian,haw
calme,calm,french,fr
kalmte,calm,dutch,nl
calma,calm,gaelic,ga
calma,calm,catallan,ca
ruhig,calm,german,de
고요한,calm,korean,ko
穏やかな,calm,japanese,ja
calma,calm,spanish,es
malie iho la,calm,hawaiian,haw
brut,raw,french,fr
rauw,raw,dutch,nl
amh,raw,gaelic,ga
cru,raw,catallan,ca
roh,raw,german,de
노골적인,raw,korean,ko
生,raw,japanese,ja
crudo,raw,spanish,es
maka,raw,hawaiian,haw
cuit,cooked,french,fr
gekookt,cooked,dutch,nl
bruite,cooked,gaelic,ga
cuit,cooked,catallan,ca
gekocht,cooked,german,de
요리,cooked,korean,ko
調理済みの,cooked,japanese,ja
cocido,cooked,spanish,es
moʻa,cooked,hawaiian,haw
contraire,opposite,french,fr
tegenover,opposite,dutch,nl
os coinne,opposite,gaelic,ga
oposat,opposite,catallan,ca
Gegenteil,opposite,german,de
반대말,opposite,korean,ko
反対,opposite,japanese,ja
opuesto,opposite,spanish,es
ku pono ana,opposite,hawaiian,haw
contraire,contrary,french,fr
tegendeel,contrary,dutch,nl
a mhalairt,contrary,gaelic,ga
contràriament,contrary,catallan,ca
Gegenteil,contrary,german,de
반대로,contrary,korean,ko
反対の,contrary,japanese,ja
contrario,contrary,spanish,es
kue,contrary,hawaiian,haw
action,action,french,fr
actie,action,dutch,nl
gníomh,action,gaelic,ga
acció,action,catallan,ca
Aktion,action,german,de
동작,action,korean,ko
アクション,action,japanese,ja
acción,action,spanish,es
hana,action,hawaiian,haw
faire,do,french,fr
do,do,dutch,nl
dhéanamh,do,gaelic,ga
fer,do,catallan,ca
machen,do,german,de
해야 할 것,do,korean,ko
行う,do,japanese,ja
hacer,do,spanish,es
hana,do,hawaiian,haw
être,be,french,fr
worden,be,dutch,nl
bheith,be,gaelic,ga
ser,be,catallan,ca
Sein,be,german,de
있다,be,korean,ko
あります,be,japanese,ja
ser,be,spanish,es
e,be,hawaiian,haw
inaction,inaction,french,fr
werkeloosheid,inaction,dutch,nl
easpa gnímh,inaction,gaelic,ga
inacció,inaction,catallan,ca
Untätigkeit,inaction,german,de
활동하지 않음,inaction,korean,ko
無為,inaction,japanese,ja
inacción,inaction,spanish,es
inaction,inaction,hawaiian,haw
confort,comfort,french,fr
comfort,comfort,dutch,nl
compord,comfort,gaelic,ga
comoditat,comfort,catallan,ca
Komfort,comfort,german,de
위로,comfort,korean,ko
快適さ,comfort,japanese,ja
comodidad,comfort,spanish,es
oluolu,comfort,hawaiian,haw
minimal,minimal,french,fr
minimaal,minimal,dutch,nl
íosta,minimal,gaelic,ga
mínim,minimal,catallan,ca
minimal,minimal,german,de
최소의,minimal,korean,ko
最小限の,minimal,japanese,ja
mínimo,minimal,spanish,es
minimal,minimal,hawaiian,haw
harmonie,harmony,french,fr
harmonie,harmony,dutch,nl
chéile,harmony,gaelic,ga
harmonia,harmony,catallan,ca
Harmonie,harmony,german,de
조화,harmony,korean,ko
調和,harmony,japanese,ja
armonía,harmony,spanish,es
lokahi,harmony,hawaiian,haw
symbiose,symbiosis,french,fr
symbiose,symbiosis,dutch,nl
symbiosis,symbiosis,gaelic,ga
simbiosi,symbiosis,catallan,ca
Symbiose,symbiosis,german,de
공생,symbiosis,korean,ko
共生,symbiosis,japanese,ja
simbiosis,symbiosis,spanish,es
symbiosis,symbiosis,hawaiian,haw
vérité,truth,french,fr
waarheid,truth,dutch,nl
fírinne,truth,gaelic,ga
veritat,truth,catallan,ca
Wahrheit,truth,german,de
진실,truth,korean,ko
真実,truth,japanese,ja
verdad,truth,spanish,es
oiaio,truth,hawaiian,haw
blanc,white,french,fr
wit,white,dutch,nl
white,white,gaelic,ga
blanc,white,catallan,ca
weiß,white,german,de
화이트,white,korean,ko
白,white,japanese,ja
blanco,white,spanish,es
keʻokeʻo,white,hawaiian,haw
noir,black,french,fr
zwart,black,dutch,nl
dubh,black,gaelic,ga
negre,black,catallan,ca
schwarz,black,german,de
검은,black,korean,ko
黒,black,japanese,ja
negro,black,spanish,es
ʻeleʻele,black,hawaiian,haw
espace,space,french,fr
ruimte,space,dutch,nl
spás,space,gaelic,ga
espai,space,catallan,ca
Raum,space,german,de
공간,space,korean,ko
スペース,space,japanese,ja
espacio,space,spanish,es
makahiki,space,hawaiian,haw
cercle,circle,french,fr
cirkel,circle,dutch,nl
ciorcal,circle,gaelic,ga
cercle,circle,catallan,ca
Kreis,circle,german,de
원,circle,korean,ko
サークル,circle,japanese,ja
circulo,circle,spanish,es
kaiapili,circle,hawaiian,haw
triangle,triangle,french,fr
driehoek,triangle,dutch,nl
triantán,triangle,gaelic,ga
triangle,triangle,catallan,ca
Dreieck,triangle,german,de
삼각형,triangle,korean,ko
三角形,triangle,japanese,ja
triángulo,triangle,spanish,es
triangle,triangle,hawaiian,haw
ligne,line,french,fr
lijn,line,dutch,nl
líne,line,gaelic,ga
línia,line,catallan,ca
Linie,line,german,de
선,line,korean,ko
ライン,line,japanese,ja
línea,line,spanish,es
laina,line,hawaiian,haw
cône,cone,french,fr
kegel,cone,dutch,nl
cón,cone,gaelic,ga
con,cone,catallan,ca
Kegel,cone,german,de
원뿔,cone,korean,ko
円錐,cone,japanese,ja
cono,cone,spanish,es
Pohakuʻohanalei,cone,hawaiian,haw
colonne,column,french,fr
kolom,column,dutch,nl
colún,column,gaelic,ga
columna,column,catallan,ca
Spalte,column,german,de
기둥,column,korean,ko
カラム,column,japanese,ja
columna,column,spanish,es
kolamu,column,hawaiian,haw
cube,cube,french,fr
kubus,cube,dutch,nl
ciúb,cube,gaelic,ga
cub,cube,catallan,ca
Würfel,cube,german,de
큐브,cube,korean,ko
キューブ,cube,japanese,ja
cubo,cube,spanish,es
polū,cube,hawaiian,haw
sphère,sphere,french,fr
gebied,sphere,dutch,nl
Sféar,sphere,gaelic,ga
esfera,sphere,catallan,ca
Kugel,sphere,german,de
구체,sphere,korean,ko
球,sphere,japanese,ja
esfera,sphere,spanish,es
sphere,sphere,hawaiian,haw
voyage,journey,french,fr
reis,journey,dutch,nl
turas,journey,gaelic,ga
viatge,journey,catallan,ca
Reise,journey,german,de
여행,journey,korean,ko
旅,journey,japanese,ja
viaje,journey,spanish,es
huakai,journey,hawaiian,haw
sens,meaning,french,fr
betekenis,meaning,dutch,nl
chiallaíonn,meaning,gaelic,ga
significat,meaning,catallan,ca
Bedeutung,meaning,german,de
의미,meaning,korean,ko
意味,meaning,japanese,ja
sentido,meaning,spanish,es
&#39;o ia hoʻi,meaning,hawaiian,haw
dualité,duality,french,fr
tweevoudigheid,duality,dutch,nl
dúbailteacht,duality,gaelic,ga
dualitat,duality,catallan,ca
Dualität,duality,german,de
이중성,duality,korean,ko
二重性,duality,japanese,ja
dualidad,duality,spanish,es
duality,duality,hawaiian,haw
minimalisme,minimalism,french,fr
minimalisme,minimalism,dutch,nl
minimalism,minimalism,gaelic,ga
minimalisme,minimalism,catallan,ca
Minimalismus,minimalism,german,de
미니멀리즘,minimalism,korean,ko
ミニマリズム,minimalism,japanese,ja
minimalismo,minimalism,spanish,es
minimalism,minimalism,hawaiian,haw
effort,effort,french,fr
inspanning,effort,dutch,nl
iarracht,effort,gaelic,ga
esforç,effort,catallan,ca
Anstrengung,effort,german,de
노력,effort,korean,ko
努力,effort,japanese,ja
esfuerzo,effort,spanish,es
ke kākoʻo &#39;,effort,hawaiian,haw
détendu,relaxed,french,fr
ontspannen,relaxed,dutch,nl
relaxed,relaxed,gaelic,ga
relaxat,relaxed,catallan,ca
entspannt,relaxed,german,de
편안한,relaxed,korean,ko
リラックスしました,relaxed,japanese,ja
relajado,relaxed,spanish,es
nanea wale,relaxed,hawaiian,haw
conscient,conscious,french,fr
bewust,conscious,dutch,nl
comhfhiosach,conscious,gaelic,ga
conscient,conscious,catallan,ca
bewusst,conscious,german,de
의식이있는,conscious,korean,ko
意識,conscious,japanese,ja
consciente,conscious,spanish,es
manao,conscious,hawaiian,haw
réfléchi,thoughtful,french,fr
nadenkend,thoughtful,dutch,nl
mhachnamhach,thoughtful,gaelic,ga
pensatiu,thoughtful,catallan,ca
nachdenklich,thoughtful,german,de
인정 있는,thoughtful,korean,ko
思いやりのある,thoughtful,japanese,ja
pensativo,thoughtful,spanish,es
noʻonoʻo,thoughtful,hawaiian,haw
logique,logical,french,fr
logisch,logical,dutch,nl
loighciúil,logical,gaelic,ga
lògic,logical,catallan,ca
logisch,logical,german,de
논리적,logical,korean,ko
論理的,logical,japanese,ja
lógico,logical,spanish,es
Logical,logical,hawaiian,haw
travail,work,french,fr
werken,work,dutch,nl
obair,work,gaelic,ga
treball,work,catallan,ca
Arbeit,work,german,de
작업,work,korean,ko
作業,work,japanese,ja
trabajo,work,spanish,es
hana,work,hawaiian,haw
jouer,play,french,fr
spelen,play,dutch,nl
imirt,play,gaelic,ga
jugar,play,catallan,ca
spielen,play,german,de
놀이,play,korean,ko
遊びます,play,japanese,ja
jugar,play,spanish,es
paani,play,hawaiian,haw
et,and,french,fr
en,and,dutch,nl
agus,and,gaelic,ga
i,and,catallan,ca
und,and,german,de
과,and,korean,ko
そして,and,japanese,ja
y,and,spanish,es
a,and,hawaiian,haw
le repos,rest,french,fr
rest,rest,dutch,nl
eile,rest,gaelic,ga
descans,rest,catallan,ca
sich ausruhen,rest,german,de
휴식,rest,korean,ko
残り,rest,japanese,ja
descanso,rest,spanish,es
maha,rest,hawaiian,haw
mouvement,motion,french,fr
beweging,motion,dutch,nl
tairiscint,motion,gaelic,ga
moviment,motion,catallan,ca
Bewegung,motion,german,de
운동,motion,korean,ko
モーション,motion,japanese,ja
movimiento,motion,spanish,es
ka noi,motion,hawaiian,haw
émotion,emotion,french,fr
emotie,emotion,dutch,nl
emotion,emotion,gaelic,ga
emoció,emotion,catallan,ca
Emotion,emotion,german,de
감정,emotion,korean,ko
感情,emotion,japanese,ja
emoción,emotion,spanish,es
loka,emotion,hawaiian,haw
simplicité,simplicity,french,fr
eenvoud,simplicity,dutch,nl
simplíocht,simplicity,gaelic,ga
senzillesa,simplicity,catallan,ca
Einfachheit,simplicity,german,de
간단,simplicity,korean,ko
単純,simplicity,japanese,ja
sencillez,simplicity,spanish,es
naau kupono,simplicity,hawaiian,haw
simple,simple,french,fr
eenvoudig,simple,dutch,nl
simplí,simple,gaelic,ga
senzill,simple,catallan,ca
einfach,simple,german,de
단순한,simple,korean,ko
シンプル,simple,japanese,ja
sencillo,simple,spanish,es
mea,simple,hawaiian,haw
Oeuf,egg,french,fr
ei,egg,dutch,nl
ubh,egg,gaelic,ga
ou,egg,catallan,ca
Ei,egg,german,de
계란,egg,korean,ko
卵,egg,japanese,ja
huevo,egg,spanish,es
hua,egg,hawaiian,haw
intersection,intersection,french,fr
kruispunt,intersection,dutch,nl
dtrasnaíonn,intersection,gaelic,ga
intersecció,intersection,catallan,ca
Überschneidung,intersection,german,de
교차,intersection,korean,ko
交差点,intersection,japanese,ja
intersección,intersection,spanish,es
kuʻina,intersection,hawaiian,haw
intercepter,intercept,french,fr
onderscheppen,intercept,dutch,nl
thascradh,intercept,gaelic,ga
interceptar,intercept,catallan,ca
abfangen,intercept,german,de
차단,intercept,korean,ko
インターセプト,intercept,japanese,ja
interceptar,intercept,spanish,es
intercept,intercept,hawaiian,haw
passeport,passport,french,fr
paspoort,passport,dutch,nl
pas,passport,gaelic,ga
passaport,passport,catallan,ca
Reisepass,passport,german,de
여권,passport,korean,ko
パスポート,passport,japanese,ja
pasaporte,passport,spanish,es
passport,passport,hawaiian,haw
nomade,nomad,french,fr
nomade,nomad,dutch,nl
Nomad,nomad,gaelic,ga
nòmada,nomad,catallan,ca
Nomade,nomad,german,de
유목민,nomad,korean,ko
遊牧民,nomad,japanese,ja
nómada,nomad,spanish,es
nomad,nomad,hawaiian,haw
seul,alone,french,fr
alleen,alone,dutch,nl
ina n-aonar,alone,gaelic,ga
només,alone,catallan,ca
allein,alone,german,de
혼자,alone,korean,ko
一人で,alone,japanese,ja
solo,alone,spanish,es
wale no,alone,hawaiian,haw
ensemble,together,french,fr
samen,together,dutch,nl
chéile,together,gaelic,ga
juntament,together,catallan,ca
zusammen,together,german,de
함께,together,korean,ko
一緒に,together,japanese,ja
juntos,together,spanish,es
pu,together,hawaiian,haw
objectif,purpose,french,fr
doel,purpose,dutch,nl
cuspóir,purpose,gaelic,ga
propòsit,purpose,catallan,ca
Zweck,purpose,german,de
목적,purpose,korean,ko
目的,purpose,japanese,ja
propósito,purpose,spanish,es
manao,purpose,hawaiian,haw
vérité,truth,french,fr
waarheid,truth,dutch,nl
fírinne,truth,gaelic,ga
veritat,truth,catallan,ca
Wahrheit,truth,german,de
진실,truth,korean,ko
真実,truth,japanese,ja
verdad,truth,spanish,es
oiaio,truth,hawaiian,haw
mensonges,lies,french,fr
leugens,lies,dutch,nl
bréaga,lies,gaelic,ga
mentides,lies,catallan,ca
Lügen,lies,german,de
거짓말,lies,korean,ko
嘘,lies,japanese,ja
mentiras,lies,spanish,es
wahaheʻe,lies,hawaiian,haw
ombre,shadow,french,fr
schaduw,shadow,dutch,nl
scáth,shadow,gaelic,ga
ombra,shadow,catallan,ca
Schatten,shadow,german,de
그림자,shadow,korean,ko
影,shadow,japanese,ja
sombra,shadow,spanish,es
aka,shadow,hawaiian,haw
,,french,fr
,,dutch,nl
,,gaelic,ga
,,catallan,ca
,,german,de
,,korean,ko
,,japanese,ja
,,spanish,es
,,hawaiian,haw
le sable,sand,french,fr
zand,sand,dutch,nl
gaineamh,sand,gaelic,ga
sorra,sand,catallan,ca
Sand,sand,german,de
모래,sand,korean,ko
砂,sand,japanese,ja
arena,sand,spanish,es
one,sand,hawaiian,haw
